"schema_name","table_name","column_name","data_type","not_null","constraint_type","references"
"auth","users","id","uuid","true","PRIMARY KEY",""
"auth","users","aud","character varying(255)","false","",""
"auth","users","banned_until","timestamp with time zone","false","",""
"auth","users","confirmation_sent_at","timestamp with time zone","false","",""
"auth","users","confirmation_token","character varying(255)","false","",""
"auth","users","confirmed_at","timestamp with time zone","false","",""
"auth","users","created_at","timestamp with time zone","false","",""
"auth","users","deleted_at","timestamp with time zone","false","",""
"auth","users","email","character varying(255)","false","",""
"auth","users","email_change","character varying(255)","false","",""
"auth","users","email_change_confirm_status","smallint","false","",""
"auth","users","email_change_sent_at","timestamp with time zone","false","",""
"auth","users","email_change_token_current","character varying(255)","false","",""
"auth","users","email_change_token_new","character varying(255)","false","",""
"auth","users","email_confirmed_at","timestamp with time zone","false","",""
"auth","users","encrypted_password","character varying(255)","false","",""
"auth","users","instance_id","uuid","false","",""
"auth","users","invited_at","timestamp with time zone","false","",""
"auth","users","is_anonymous","boolean","true","",""
"auth","users","is_sso_user","boolean","true","",""
"auth","users","is_super_admin","boolean","false","",""
"auth","users","last_sign_in_at","timestamp with time zone","false","",""
"auth","users","phone","text","false","",""
"auth","users","phone_change","text","false","",""
"auth","users","phone_change_sent_at","timestamp with time zone","false","",""
"auth","users","phone_change_token","character varying(255)","false","",""
"auth","users","phone_confirmed_at","timestamp with time zone","false","",""
"auth","users","raw_app_meta_data","jsonb","false","",""
"auth","users","raw_user_meta_data","jsonb","false","",""
"auth","users","reauthentication_sent_at","timestamp with time zone","false","",""
"auth","users","reauthentication_token","character varying(255)","false","",""
"auth","users","recovery_sent_at","timestamp with time zone","false","",""
"auth","users","recovery_token","character varying(255)","false","",""
"auth","users","role","character varying(255)","false","",""
"auth","users","updated_at","timestamp with time zone","false","",""
"public","categories","id","uuid","true","PRIMARY KEY",""
"public","categories","created_at","timestamp with time zone","false","",""
"public","categories","name","text","true","",""
"public","categories","type","category_type","true","",""
"public","categories","updated_at","timestamp with time zone","false","",""
"public","envelopes","id","uuid","true","PRIMARY KEY",""
"public","envelopes","category_id","uuid","false","",""
"public","envelopes","closed_at","timestamp with time zone","false","",""
"public","envelopes","created_at","timestamp with time zone","false","",""
"public","envelopes","created_by","uuid","false","",""
"public","envelopes","description","text","false","",""
"public","envelopes","end_date","date","false","",""
"public","envelopes","name","text","true","",""
"public","envelopes","start_date","date","false","",""
"public","envelopes","status","envelope_status","false","",""
"public","envelopes","type","envelope_type","true","",""
"public","event_participants","event_id","uuid","true","PRIMARY KEY","public.events.id"
"public","event_participants","user_id","uuid","true","PRIMARY KEY","public.users.id"
"public","event_participants","created_at","timestamp with time zone","false","",""
"public","events","id","uuid","true","PRIMARY KEY",""
"public","events","created_at","timestamp with time zone","false","",""
"public","events","created_by","uuid","true","","public.users.id"
"public","events","description","text","false","",""
"public","events","end_date","date","false","",""
"public","events","frequency","event_frequency","false","",""
"public","events","location","text","false","",""
"public","events","start_date","date","true","",""
"public","events","start_time","time without time zone","false","",""
"public","events","title","text","true","",""
"public","notes","id","uuid","true","PRIMARY KEY",""
"public","notes","color","note_color","true","",""
"public","notes","content","text","false","",""
"public","notes","created_at","timestamp with time zone","true","",""
"public","notes","organization_id","uuid","false","","public.organizations.id"
"public","notes","position","jsonb","true","",""
"public","notes","updated_at","timestamp with time zone","true","",""
"public","notes","user_id","uuid","true","","public.users.id"
"public","refunds","id","uuid","true","PRIMARY KEY",""
"public","refunds","amount","numeric(10,2)","true","",""
"public","refunds","created_at","timestamp with time zone","false","",""
"public","refunds","description","text","false","",""
"public","refunds","refund_date","date","true","",""
"public","refunds","transaction_id","uuid","true","","public.transactions.id"
"public","refunds","updated_at","timestamp with time zone","false","",""
"public","refunds","user_id","uuid","true","","public.users.id"
"public","subcategories","id","uuid","true","PRIMARY KEY",""
"public","subcategories","category_id","uuid","true","","public.categories.id"
"public","subcategories","created_at","timestamp with time zone","false","",""
"public","subcategories","name","text","true","",""
"public","subcategories","updated_at","timestamp with time zone","false","",""
"public","transactions","id","uuid","true","PRIMARY KEY",""
"public","transactions","accounting_date","date","true","",""
"public","transactions","amount","numeric(10,2)","true","",""
"public","transactions","category_id","uuid","true","","public.categories.id"
"public","transactions","created_at","timestamp with time zone","false","",""
"public","transactions","description","text","false","",""
"public","transactions","expense_type","expense_type","true","",""
"public","transactions","is_income","boolean","false","",""
"public","transactions","split_ratio","numeric(5,2)","false","",""
"public","transactions","subcategory_id","uuid","false","","public.subcategories.id"
"public","transactions","transaction_date","date","true","",""
"public","transactions","user_id","uuid","true","","public.users.id"
"public","transactions_with_refunds","accounting_date","date","false","",""
"public","transactions_with_refunds","amount","numeric(10,2)","false","",""
"public","transactions_with_refunds","category_id","uuid","false","",""
"public","transactions_with_refunds","created_at","timestamp with time zone","false","",""
"public","transactions_with_refunds","description","text","false","",""
"public","transactions_with_refunds","expense_type","expense_type","false","",""
"public","transactions_with_refunds","final_amount","numeric","false","",""
"public","transactions_with_refunds","id","uuid","false","",""
"public","transactions_with_refunds","is_income","boolean","false","",""
"public","transactions_with_refunds","refunded_amount","numeric","false","",""
"public","transactions_with_refunds","split_ratio","numeric(5,2)","false","",""
"public","transactions_with_refunds","subcategory_id","uuid","false","",""
"public","transactions_with_refunds","transaction_date","date","false","",""
"public","transactions_with_refunds","user_id","uuid","false","",""
"public","users","id","uuid","true","PRIMARY KEY",""
"public","users","avatar","text","false","",""
"public","users","created_at","timestamp with time zone","false","",""
"public","users","email","text","true","",""
"public","users","name","text","true","",""
