;Janv;Fév;Mars;Avril;Mai ;Juin;Juillet;Août ;Sept;Oct;Nov;Déc
Restaurants;163,5;200,4;129,2;138,4;203,8;252,9;75,3;123,4;216,8;89,0;99,9;162,1
Fast Food;14,5;16,9;18,3;2,9;14,4;8,2;11,5;13,4;9,8;19,4;0,0;15,1
Supermarché;78,9;80,2;60,0;133,0;158,2;139,3;10,8;83,0;111,1;134,6;108,9;179,6
Boulot;20,1;50,9;8,5;10,6;17,8;40,6;0,0;9,4;16,1;4,5;6,2;0,0
Drinks;37,2;103,8;24,0;33,0;130,5;36,3;14,9;1,8;25,9;8,8;29,2;42,0
Loisirs et sorties;5,0;48,2;40,0;7,0;47,0;25,0;0,0;50,0;65,0;31,0;0,0;131,5
Weekends/Vacances;;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;
Multimedia/divers;1,1;13,9;9,0;3,8;0,0;0,0;0,0;0,0;6,8;29,2;44,4;0,0
Taxis;43,2;39,1;17,9;26,2;42,1;29,3;33,3;16,3;25,5;17,4;42,1;57,1
Transport en commun;12,6;16,2;0,0;16,2;0,0;1,8;0,0;3,9;0,0;3,5;27,8;0,0
Tabac;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cadeaux;35,0;55,0;115,6;65,0;99,0;65,0;75,5;30,0;103,9;89,4;166,0;215,4
Shopping;0,0;0,0;119,6;174,0;110,9;9,0;150,0;42,9;11,7;40,0;0,0;0,0
Sport;66,0;66,0;0,0;61,0;0,0;22,0;0,0;7,5;33,0;33,0;33,0;33,0
Coiffeur;40,0;0,0;0,0;0,0;0,0;0,0;50,0;0,0;0,0;0,0;0,0;0,0
Cosmétique;0,0;0,0;20,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Esthétique;24,0;0,0;0,0;0,0;30,0;75,0;15,0;65,0;5,0;0,0;0,0;0,0
Abonnement;15,5;15,5;15,5;15,5;15,5;33,0;15,6;15,6;15,6;15,6;17,6;18,1
Médecin;0,0;0,0;0,0;0,0;0,0;0,0;0,0;89,1;8,5;51,0;17,0;9,8
Mutuelle;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pharmacie;0,0;0,0;0,0;21,4;0,0;3,3;6,2;12,8;25,2;0,0;0,0;22,2
Services bancaires;20,1;5,0;5,0;5,0;10,0;48,0;5,0;5,0;20,0;5,0;5,4;5,0
Assurance habitation;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Internet;19,8;19,8;20,7;20,7;20,7;20,7;20,7;20,7;20,7;20,7;20,7;20,7
Loyer;586,6;586,6;586,6;586,6;586,6;586,6;586,6;586,6;586,6;586,6;586,6;586,6
Van;82,8;40,0;40,0;40,0;40,0;52,5;40,0;65,0;287,3;40,0;57,9;40,0
Maison;219,3;0,0;0,0;0,0;0,0;0,0;0,0;6,5;192,5;20,0;37,1;26,8
Electricité;12,9;11,9;19,2;20,9;16,1;16,9;18,5;20,2;17,6;17,7;21,1;19,6
Eau;18,0;0,0;18,0;0,0;18,0;0,0;17,4;7,5;0,0;16,9;0,0;18,3
Gaz;0,0;31,4;0,0;31,0;0,0;25,7;0,0;25,3;0,0;9,0;0,0;22,8
Education;0,0;120,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
Ménage;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,5;10,0;0,0;20,0
Terrain;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6474,6;300,0;0,0
Tiny;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2767,5;395,0;32,0
Babe;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;48,5;0,0
Salaires;2065,8;2248,8;2090,0;2095,8;2202,0;3911,0;2184,8;2232,0;2208,8;2266,4;2262,8;2435,8
Vinted;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;26,0
Revente appart;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Rentes et autres;610,0;0,0;0,0;70,0;0,0;0,0;300,0;0,0;0,0;460,0;0,0;20,0
Coverflex;85,0;933,0;80,0;85,0;745,0;80,0;80,0;1112,0;197,0;152,4;1135,0;128,3
